Evaluation nodes info
node id || total edges || positive edges
935  ||  249  ||  11
771  ||  273  ||  7
970  ||  282  ||  19
308  ||  319  ||  11
339  ||  334  ||  11
898  ||  336  ||  8




node:  935
top x || number of positive returns || score relative to x and positive ratio
1 || abc score 0 || abc relative score 0.0
1 || gnn score 0 || gnn relative score 0.0
1 || mf score 1 || mf relative score 22.636363636363637

top x || number of positive returns || score relative to x and positive ratio
10 || abc score 0 || abc relative score 0.0
10 || gnn score 0 || gnn relative score 0.0
10 || mf score 1 || mf relative score 2.2636363636363637

top x || number of positive returns || score relative to x and positive ratio
20 || abc score 1 || abc relative score 1.1318181818181818
20 || gnn score 0 || gnn relative score 0.0
20 || mf score 2 || mf relative score 2.2636363636363637

top x || number of positive returns || score relative to x and positive ratio
50 || abc score 4 || abc relative score 1.8109090909090908
50 || gnn score 2 || gnn relative score 0.9054545454545454
50 || mf score 2 || mf relative score 0.9054545454545454

top x || number of positive returns || score relative to x and positive ratio
100 || abc score 6 || abc relative score 1.3581818181818182
100 || gnn score 4 || gnn relative score 0.9054545454545454
100 || mf score 5 || mf relative score 1.1318181818181818

node:  771
top x || number of positive returns || score relative to x and positive ratio
1 || abc score 1 || abc relative score 39.0
1 || gnn score 0 || gnn relative score 0.0
1 || mf score 0 || mf relative score 0.0

top x || number of positive returns || score relative to x and positive ratio
10 || abc score 1 || abc relative score 3.9000000000000004
10 || gnn score 1 || gnn relative score 3.9000000000000004
10 || mf score 0 || mf relative score 0.0

top x || number of positive returns || score relative to x and positive ratio
20 || abc score 4 || abc relative score 7.800000000000001
20 || gnn score 1 || gnn relative score 1.9500000000000002
20 || mf score 0 || mf relative score 0.0

top x || number of positive returns || score relative to x and positive ratio
50 || abc score 6 || abc relative score 4.68
50 || gnn score 1 || gnn relative score 0.78
50 || mf score 0 || mf relative score 0.0

top x || number of positive returns || score relative to x and positive ratio
100 || abc score 7 || abc relative score 2.7300000000000004
100 || gnn score 4 || gnn relative score 1.56
100 || mf score 1 || mf relative score 0.39

node:  970
top x || number of positive returns || score relative to x and positive ratio
1 || abc score 0 || abc relative score 0.0
1 || gnn score 0 || gnn relative score 0.0
1 || mf score 0 || mf relative score 0.0

top x || number of positive returns || score relative to x and positive ratio
10 || abc score 3 || abc relative score 4.4526315789473685
10 || gnn score 2 || gnn relative score 2.9684210526315793
10 || mf score 1 || mf relative score 1.4842105263157896

top x || number of positive returns || score relative to x and positive ratio
20 || abc score 4 || abc relative score 2.9684210526315793
20 || gnn score 2 || gnn relative score 1.4842105263157896
20 || mf score 3 || mf relative score 2.2263157894736842

top x || number of positive returns || score relative to x and positive ratio
50 || abc score 10 || abc relative score 2.9684210526315793
50 || gnn score 5 || gnn relative score 1.4842105263157896
50 || mf score 6 || mf relative score 1.7810526315789472

top x || number of positive returns || score relative to x and positive ratio
100 || abc score 14 || abc relative score 2.0778947368421052
100 || gnn score 8 || gnn relative score 1.1873684210526316
100 || mf score 9 || mf relative score 1.3357894736842104

node:  308
top x || number of positive returns || score relative to x and positive ratio
1 || abc score 0 || abc relative score 0.0
1 || gnn score 0 || gnn relative score 0.0
1 || mf score 0 || mf relative score 0.0

top x || number of positive returns || score relative to x and positive ratio
10 || abc score 1 || abc relative score 2.9000000000000004
10 || gnn score 1 || gnn relative score 2.9000000000000004
10 || mf score 1 || mf relative score 2.9000000000000004

top x || number of positive returns || score relative to x and positive ratio
20 || abc score 2 || abc relative score 2.9000000000000004
20 || gnn score 2 || gnn relative score 2.9000000000000004
20 || mf score 2 || mf relative score 2.9000000000000004

top x || number of positive returns || score relative to x and positive ratio
50 || abc score 4 || abc relative score 2.3200000000000003
50 || gnn score 3 || gnn relative score 1.74
50 || mf score 3 || mf relative score 1.74

top x || number of positive returns || score relative to x and positive ratio
100 || abc score 7 || abc relative score 2.0300000000000002
100 || gnn score 3 || gnn relative score 0.87
100 || mf score 3 || mf relative score 0.87

node:  339
top x || number of positive returns || score relative to x and positive ratio
1 || abc score 0 || abc relative score 0.0
1 || gnn score 0 || gnn relative score 0.0
1 || mf score 0 || mf relative score 0.0

top x || number of positive returns || score relative to x and positive ratio
10 || abc score 0 || abc relative score 0.0
10 || gnn score 1 || gnn relative score 3.036363636363636
10 || mf score 0 || mf relative score 0.0

top x || number of positive returns || score relative to x and positive ratio
20 || abc score 1 || abc relative score 1.518181818181818
20 || gnn score 3 || gnn relative score 4.554545454545454
20 || mf score 0 || mf relative score 0.0

top x || number of positive returns || score relative to x and positive ratio
50 || abc score 3 || abc relative score 1.8218181818181816
50 || gnn score 4 || gnn relative score 2.4290909090909087
50 || mf score 2 || mf relative score 1.2145454545454544

top x || number of positive returns || score relative to x and positive ratio
100 || abc score 5 || abc relative score 1.518181818181818
100 || gnn score 6 || gnn relative score 1.8218181818181816
100 || mf score 5 || mf relative score 1.518181818181818

node:  898
top x || number of positive returns || score relative to x and positive ratio
1 || abc score 1 || abc relative score 42.0
1 || gnn score 0 || gnn relative score 0.0
1 || mf score 0 || mf relative score 0.0

top x || number of positive returns || score relative to x and positive ratio
10 || abc score 2 || abc relative score 8.4
10 || gnn score 0 || gnn relative score 0.0
10 || mf score 0 || mf relative score 0.0

top x || number of positive returns || score relative to x and positive ratio
20 || abc score 2 || abc relative score 4.2
20 || gnn score 0 || gnn relative score 0.0
20 || mf score 1 || mf relative score 2.1

top x || number of positive returns || score relative to x and positive ratio
50 || abc score 3 || abc relative score 2.52
50 || gnn score 1 || gnn relative score 0.8400000000000001
50 || mf score 1 || mf relative score 0.8400000000000001

top x || number of positive returns || score relative to x and positive ratio
100 || abc score 5 || abc relative score 2.1
100 || gnn score 3 || gnn relative score 1.26
100 || mf score 3 || mf relative score 1.26

AUC scores
abc AUC score: 0.7352024005405681
gnn AUC score: 0.5567093077693205
mf AUC score: 0.5431041804187656
evaluation done
